Species_Name,IUCN_Status,Number_of_Individuals
Nothopegia castanaefolia,Critically Endangered,32
Prunus ceylanica,Endangered,4
Canthium dicoccum,Vulnerable,12
Dimocarpus longan,Lower Risk / Near Threatened,146
Tabernaemontana heyneana,Lower Risk / Near Threatened,3
Holarrhena pubescens,Least Concern,5
Aglaia lawii,Lower Risk / Least Concern,37
Aglaia elaeagnoidea,Lower Risk / Least Concern,7
Chukrasia tabularis,Lower Risk / Least Concern,1
Knema attenuata,Lower Risk / Least Concern,1
Myristica dactyloides,Lower Risk / Conservation Dependent,77
Mangifera indica,Data Deficient,64
Diospyros ebenum,Data Deficient,37
