gbifID,occurrenceID,kingdom,phylum,class,order,family,genus,species,taxonRank,scientificName,countryCode,locality,stateProvince,occurrenceStatus,individualCount,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,lastInterpreted,mediaType,issue
665922030,d48bac4f-7065-451a-ab84-8b179c135d88,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Funambulus,Funambulus tristriatus,SPECIES,"Funambulus tristriatus (Waterhouse, 1837)",IN,"Satara, Deccan, Helwak",Maharashtra,PRESENT,1.0,17.366671,73.73333,3.06,1914-12-11,11,12,1914,2437245.0,2437245.0,PRESERVED_SPECIMEN,FMNH,Mammals,82896,,,CC0_1_0,The Field Museum of Natural History,S. H. Pratu,2026-02-26T00:47:39.039Z,,COORDINATE_ROUNDED;RECORDED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;TAXON_MATCH_HIGHERRANK
665921655,d9781df1-8a33-428c-9984-0f6f7df970af,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Funambulus,Funambulus tristriatus,SPECIES,"Funambulus tristriatus (Waterhouse, 1837)",IN,"Satara, Deccan, Helwak",Maharashtra,PRESENT,1.0,17.366671,73.73333,3.06,1914-12-11,11,12,1914,2437245.0,2437245.0,PRESERVED_SPECIMEN,FMNH,Mammals,82895,,,CC0_1_0,The Field Museum of Natural History,S. H. Pratu,2026-02-26T00:47:40.757Z,,COORDINATE_ROUNDED;RECORDED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;TAXON_MATCH_HIGHERRANK
6133181356,https://www.inaturalist.org/observations/314821288,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Raorchestes,Raorchestes ghatei,SPECIES,"Raorchestes ghatei Padhye, Sayyed, Jadhav & Dahanukar, 2013",IN,,Maharashtra,PRESENT,,17.720878,73.824617,,2025-09-18,18,9,2025,8764429.0,8764429.0,HUMAN_OBSERVATION,iNaturalist,Observations,314821288,Samarth Kedilaya,2025-09-18T16:24:53,CC_BY_NC_4_0,Samarth Kedilaya,Samarth Kedilaya,2026-02-23T23:58:31.512Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6131297237,https://www.inaturalist.org/observations/286245015,Animalia,Chordata,Amphibia,Anura,Microhylidae,Uperodon,Uperodon mormoratus,SPECIES,"Uperodon mormoratus (Rao, 1937)",IN,,Maharashtra,PRESENT,,17.398142,73.833084,1561.0,2025-06-02,2,6,2025,9699398.0,9699398.0,HUMAN_OBSERVATION,iNaturalist,Observations,286245015,Vaishnavi Apte,2025-06-02T11:42:53,CC_BY_NC_4_0,Vaishnavi Apte,Vaishnavi Apte,2026-02-24T00:58:36.710Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6130297653,https://www.inaturalist.org/observations/336139053,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus palustris,SPECIES,"Crocodylus palustris (Lesson, 1831)",IN,,Maharashtra,PRESENT,,17.554258,73.519405,30732.0,2025-12-04,4,12,2025,2441350.0,2441350.0,HUMAN_OBSERVATION,iNaturalist,Observations,336139053,snakeboy222,2026-01-26T05:17:51,CC_BY_NC_4_0,The 100th Monkey...,The 100th Monkey...,2026-02-24T00:03:13.912Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6129934286,https://www.inaturalist.org/observations/336254676,Animalia,Chordata,Squamata,,Agamidae,Calotes,Calotes versicolor,SPECIES,"Calotes versicolor (Daudin, 1802)",IN,,Maharashtra,PRESENT,,17.559818,73.471054,1405.0,2025-12-03,3,12,2025,9125207.0,9125207.0,HUMAN_OBSERVATION,iNaturalist,Observations,336254676,The 100th Monkey...,2026-01-26T17:25:00,CC_BY_NC_4_0,The 100th Monkey...,The 100th Monkey...,2026-02-23T22:50:55.635Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5938307863,https://www.inaturalist.org/observations/332877886,Animalia,Chordata,Squamata,,Colubridae,Fowlea,Fowlea piscator,SPECIES,"Fowlea piscator (Schneider, 1799)",IN,,Maharashtra,PRESENT,,17.526614,73.520389,,2025-12-26,26,12,2025,2454880.0,2454880.0,HUMAN_OBSERVATION,iNaturalist,Observations,332877886,Jayesh Patil,2025-12-31T14:36:22,CC_BY_NC_4_0,Jayesh Patil,Jayesh Patil,2026-02-23T22:50:25.948Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5938218974,https://www.inaturalist.org/observations/188520918,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,Tylorida,Tylorida marmorea,SPECIES,"Tylorida marmorea (Pocock, 1901)",IN,,Maharashtra,PRESENT,,17.598096,73.848153,204.0,2023-10-22,22,10,2023,9287359.0,9287359.0,HUMAN_OBSERVATION,iNaturalist,Observations,188520918,Boson,2026-01-06T04:54:53,CC_BY_NC_4_0,Omkar S Damle,Omkar S Damle,2026-02-23T23:30:28.736Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5935785691,https://www.inaturalist.org/observations/332421353,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ratufa,Ratufa indica,SPECIES,"Ratufa indica (Erxleben, 1777)",IN,,Maharashtra,PRESENT,,17.450779,73.707796,312.0,2025-12-21,21,12,2025,2437565.0,2437565.0,HUMAN_OBSERVATION,iNaturalist,Observations,332421353,sharadavakil,2025-12-28T11:16:57,CC_BY_NC_4_0,sharadavakil,sharadavakil,2026-02-24T01:08:38.345Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5935780567,https://www.inaturalist.org/observations/269756271,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ratufa,Ratufa indica,SPECIES,"Ratufa indica (Erxleben, 1777)",IN,,Maharashtra,PRESENT,,17.769133,73.742102,209.0,2025-02-10,10,2,2025,2437565.0,2437565.0,HUMAN_OBSERVATION,iNaturalist,Observations,269756271,sharadavakil,2025-04-11T09:14:51,CC_BY_NC_4_0,sharadavakil,sharadavakil,2026-02-24T00:55:17.942Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5935672478,https://www.inaturalist.org/observations/332421325,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,SPECIES,"Sus scrofa Linnaeus, 1758",IN,,Maharashtra,PRESENT,,17.450779,73.707796,312.0,2025-12-20,20,12,2025,7705930.0,7705930.0,HUMAN_OBSERVATION,iNaturalist,Observations,332421325,sharadavakil,2025-12-28T11:16:38,CC_BY_NC_4_0,sharadavakil,sharadavakil,2026-02-24T01:08:37.094Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5935584942,https://www.inaturalist.org/observations/332421164,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis chaus,SPECIES,"Felis chaus Schreber, 1777",IN,,Maharashtra,PRESENT,,17.450779,73.707796,312.0,2025-12-19,19,12,2025,2435066.0,2435066.0,HUMAN_OBSERVATION,iNaturalist,Observations,332421164,sharadavakil,2025-12-28T11:14:57,CC_BY_NC_4_0,sharadavakil,sharadavakil,2026-02-23T22:50:21.216Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5935392808,https://www.inaturalist.org/observations/332421323,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Viverricula,Viverricula indica,SPECIES,"Viverricula indica (É.Geoffroy Saint-Hilaire, 1803)",IN,,Maharashtra,PRESENT,,17.450779,73.707796,312.0,2025-12-20,20,12,2025,2434600.0,2434600.0,HUMAN_OBSERVATION,iNaturalist,Observations,332421323,CuttlePish,2025-12-28T12:11:46,CC_BY_NC_4_0,sharadavakil,sharadavakil,2026-02-24T01:08:40.069Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5909291861,https://www.inaturalist.org/observations/328363172,Animalia,Chordata,Amphibia,Anura,Bufonidae,Duttaphrynus,Duttaphrynus melanostictus,SPECIES,"Duttaphrynus melanostictus (Schneider, 1799)",IN,,Maharashtra,PRESENT,,17.561729,73.501221,,2025-11-21,21,11,2025,2422538.0,2422538.0,HUMAN_OBSERVATION,iNaturalist,Observations,328363172,Tom Kirschey,2025-12-04T07:51:43,CC_BY_NC_4_0,shi_ven231,shi_ven231,2026-02-24T00:01:31.916Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5903815018,https://www.inaturalist.org/observations/186801150,Animalia,Chordata,Squamata,,Agamidae,Calotes,Calotes versicolor,SPECIES,"Calotes versicolor (Daudin, 1802)",IN,,Maharashtra,PRESENT,,17.521473,73.849888,,2015-11-27,27,11,2015,9125207.0,9125207.0,HUMAN_OBSERVATION,iNaturalist,Observations,186801150,Ninad Gosavi,2024-01-03T10:57:46,CC_BY_NC_4_0,Rujuta Vinod,Rujuta Vinod,2026-02-23T23:30:08.470Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5903765996,https://www.inaturalist.org/observations/327501685,Animalia,Chordata,Squamata,,Agamidae,Calotes,Calotes versicolor,SPECIES,"Calotes versicolor (Daudin, 1802)",IN,,Maharashtra,PRESENT,,17.494595,73.803846,75.0,2025-04-26,26,4,2025,9125207.0,9125207.0,HUMAN_OBSERVATION,iNaturalist,Observations,327501685,warlord7276,2025-11-21T12:45:25,CC_BY_NC_4_0,warlord7276,warlord7276,2026-02-23T22:49:35.085Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5903754758,https://www.inaturalist.org/observations/286752988,Animalia,Chordata,Squamata,,Agamidae,Calotes,Calotes versicolor,SPECIES,"Calotes versicolor (Daudin, 1802)",IN,,Maharashtra,PRESENT,,17.521274,73.542974,197.0,2025-05-18,18,5,2025,9125207.0,9125207.0,HUMAN_OBSERVATION,iNaturalist,Observations,286752988,csshukla,2025-06-04T09:32:27,CC_BY_NC_4_0,csshukla,csshukla,2026-02-24T00:58:40.293Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5897874810,https://www.inaturalist.org/observations/326324066,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Nephila,Nephila pilipes,SPECIES,"Nephila pilipes (Fabricius, 1793)",IN,,Maharashtra,PRESENT,,17.727912,73.694448,122.0,2023-11-19,19,11,2023,2149490.0,2149490.0,HUMAN_OBSERVATION,iNaturalist,Observations,326324066,SUBHASHGHULE,2025-11-13T13:18:05,CC0_1_0,SUBHASHGHULE,SUBHASHGHULE,2026-02-24T00:01:05.659Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5897753868,https://www.inaturalist.org/observations/326320912,Animalia,Chordata,Squamata,,Scincidae,Eutropis,Eutropis carinata,SPECIES,"Eutropis carinata (Schneider, 1801)",IN,,Maharashtra,PRESENT,,17.727912,73.694448,122.0,2023-11-19,19,11,2023,2460829.0,2460829.0,HUMAN_OBSERVATION,iNaturalist,Observations,326320912,SUBHASHGHULE,2025-11-13T12:32:50,CC0_1_0,SUBHASHGHULE,SUBHASHGHULE,2026-02-24T01:07:32.291Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
