Feature,Importance
family_enc,0.10165975
order_enc,0.06896255
habitat_quality,0.05553692
season_enc,0.05349309
spatial,0.05061226
richness_log,0.044559307
lon_grid,0.044530883
years_since_2000,0.042878855
month_cos,0.041041803
species_richness,0.04069427
month,0.03814461
humidity_norm,0.037763547
richness_x_rain,0.03733255
year,0.03577716
lat_grid,0.033264622
month_sin,0.03321798
day,0.03120104
richness_x_habitat,0.029885272
decade,0.028145822
rainfall,0.02792764
rain_monsoon,0.025675124
water_index,0.02543701
humidity,0.025144916
temp_stress,0.023677127
temperature,0.023435866
is_monsoon,0.0
