Feature,Importance
species_richness,0.60523117
richness_log,0.3680386
lon_grid,0.010015268
spatial,0.005359459
richness_x_habitat,0.0032595873
habitat_quality,0.0022723377
lat_grid,0.0020461984
month,0.0017329911
richness_x_rain,0.0014520925
humidity,0.00014968336
rainfall,0.00013992623
month_cos,7.843415e-05
season_enc,6.33874e-05
water_index,6.272938e-05
humidity_norm,4.6959e-05
month_sin,1.6759244e-05
rain_monsoon,1.05638555e-05
order_enc,6.9926614e-06
temp_stress,5.678423e-06
family_enc,4.1614876e-06
temperature,3.5283933e-06
day,1.3663293e-06
year,9.316866e-07
years_since_2000,5.604063e-07
decade,4.7319108e-07
is_monsoon,2.1400903e-07
