file,status,has_predict,has_proba,n_features_in,sample_prediction,sample_confidence,error
animals_count_feature_names.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'list' object has no attribute 'predict'
animals_count_metadata.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'dict' object has no attribute 'predict'
animals_count_model.pkl,PREDICT_OK,True,False,15,1.1176393032073975,,
animals_count_scaler.pkl,PREDICT_FAILED,False,False,15,,,AttributeError: 'StandardScaler' object has no attribute 'predict'
animals_feature_names.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'list' object has no attribute 'predict'
animals_metadata.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'dict' object has no attribute 'predict'
animals_model.pkl,PREDICT_OK,True,False,15,75.76512145996094,,
animals_occurrence_classifier.pkl,PREDICT_OK,True,True,11,10.0,0.9910491704940796,
animals_occurrence_classifier_feature_names.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'list' object has no attribute 'predict'
animals_occurrence_classifier_metadata.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'dict' object has no attribute 'predict'
animals_occurrence_classifier_scaler.pkl,PREDICT_FAILED,False,False,11,,,AttributeError: 'StandardScaler' object has no attribute 'predict'
animals_occurrence_features.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'list' object has no attribute 'predict'
animals_occurrence_metadata.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'dict' object has no attribute 'predict'
animals_scaler.pkl,PREDICT_FAILED,False,False,15,,,AttributeError: 'StandardScaler' object has no attribute 'predict'
birds_feature_names.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'list' object has no attribute 'predict'
birds_metadata.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'dict' object has no attribute 'predict'
birds_model.pkl,PREDICT_OK,True,False,13,-1.0564286708831787,,
birds_occurrence_classifier.pkl,PREDICT_OK,True,True,34,0.0,0.9999717473983765,
birds_occurrence_classifier_feature_names.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'list' object has no attribute 'predict'
birds_occurrence_classifier_metadata.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'dict' object has no attribute 'predict'
birds_occurrence_classifier_scaler.pkl,PREDICT_FAILED,False,False,34,,,AttributeError: 'StandardScaler' object has no attribute 'predict'
birds_occurrence_features.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'list' object has no attribute 'predict'
birds_occurrence_metadata.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'dict' object has no attribute 'predict'
birds_scaler.pkl,PREDICT_FAILED,False,False,13,,,AttributeError: 'StandardScaler' object has no attribute 'predict'
feature_names.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'list' object has no attribute 'predict'
insects_feature_names.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'list' object has no attribute 'predict'
insects_metadata.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'dict' object has no attribute 'predict'
insects_model.pkl,PREDICT_OK,True,False,13,174.17593383789062,,
insects_occurrence_classifier.pkl,PREDICT_OK,True,True,34,0.0,0.999879002571106,
insects_occurrence_classifier_feature_names.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'list' object has no attribute 'predict'
insects_occurrence_classifier_metadata.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'dict' object has no attribute 'predict'
insects_occurrence_classifier_scaler.pkl,PREDICT_FAILED,False,False,34,,,AttributeError: 'StandardScaler' object has no attribute 'predict'
insects_occurrence_features.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'list' object has no attribute 'predict'
insects_occurrence_metadata.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'dict' object has no attribute 'predict'
insects_scaler.pkl,PREDICT_FAILED,False,False,13,,,AttributeError: 'StandardScaler' object has no attribute 'predict'
model_metadata.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'dict' object has no attribute 'predict'
plants_feature_names.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'list' object has no attribute 'predict'
plants_kmeans.pkl,PREDICT_OK,True,False,14,2.0,,
plants_kmeans_meta.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'dict' object has no attribute 'predict'
plants_kmeans_scaler.pkl,PREDICT_FAILED,False,False,14,,,AttributeError: 'StandardScaler' object has no attribute 'predict'
plants_metadata.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'dict' object has no attribute 'predict'
plants_model.pkl,PREDICT_OK,True,False,14,921.90673828125,,
plants_occurrence_classifier.pkl,PREDICT_OK,True,True,34,0.0,0.999879002571106,
plants_occurrence_classifier_feature_names.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'list' object has no attribute 'predict'
plants_occurrence_classifier_metadata.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'dict' object has no attribute 'predict'
plants_occurrence_classifier_scaler.pkl,PREDICT_FAILED,False,False,34,,,AttributeError: 'StandardScaler' object has no attribute 'predict'
plants_occurrence_features.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'list' object has no attribute 'predict'
plants_occurrence_metadata.pkl,PREDICT_FAILED,False,False,,,,AttributeError: 'dict' object has no attribute 'predict'
plants_scaler.pkl,PREDICT_FAILED,False,False,14,,,AttributeError: 'StandardScaler' object has no attribute 'predict'
scaler.pkl,PREDICT_FAILED,False,False,15,,,AttributeError: 'StandardScaler' object has no attribute 'predict'
wildlife_model.pkl,PREDICT_OK,True,False,15,95.4654843459017,,
