model,status,r2,rmse,mae,accuracy,f1
animals_model.pkl,OK,-0.2585021185384031,169.78769209175678,115.20286861423776,,
birds_model.pkl,OK,-0.7865258524510261,5.2919933971677375,3.3927535757401888,,
insects_model.pkl,OK,-0.1872143321633657,112.46575656801451,62.90460503396162,,
plants_model.pkl,OK,-1.5600674357493056,4550.156827967137,3741.239385994673,,
animals_count_model.pkl,OK,-1.352251623883054,232.12457311830363,175.96763747368752,,
animals_occurrence_classifier.pkl,NO_TARGET,,,,,
birds_occurrence_classifier.pkl,OK,,,,0.0,0.0
insects_occurrence_classifier.pkl,OK,,,,,
plants_occurrence_classifier.pkl,NO_TARGET,,,,,
plants_kmeans.pkl,OK,,,,,
