Feature,Importance
category_mean,0.08841331751284204
family_order_ratio,0.07955550602934298
order_family,0.07836632960112955
family_enc,0.07432404581241978
order_family_rich,0.06482426486154028
richness_family,0.05897209488179353
richness_order,0.0384892803217416
order_enc,0.03806121936823108
day_month,0.0347627272489332
day_year_ratio,0.03459182610673168
year_month,0.03192569694110601
temporal_mean,0.031004899991493584
day_sq,0.020639779305777227
day_cbrt,0.02046187632072262
day_sqrt,0.01969197725647813
year_cbrt,0.018441605004524953
day,0.01806625573338996
year_sq,0.015777218019853257
year,0.01551464013995272
year_sqrt,0.015223735304765618
spatial,0.013934717205901706
species_richness,0.011796784728011652
season_month,0.011151492619585385
month_sqrt,0.010257799419189669
month_sq,0.009904363641346246
species_richness_sq,0.009635459250921801
month_log,0.009634418918555133
month_cbrt,0.009450477747092264
month,0.009390513678394209
taxonRank_enc,0.0092573231106957
species_richness_sqrt,0.00908857670109061
rich_uncertainty_ratio,0.008856643484843768
spatial_mean,0.008567241789082422
month_season,0.008559896496532821
species_richness_cbrt,0.008291619973284741
richness_log,0.0081735186475237
lon_grid,0.0080148839534948
lat_grid,0.007781459675851943
spatial_sum,0.007714538316147453
richness_log2,0.00734639418442602
spatial_uncertainty,0.006417560485653599
season_enc,0.005802279112347815
decade,0.002658720156242095
richness_high,0.0010018026624121624
coordinateUncertaintyInMeters,0.00011757414992090864
uncertainty_log,8.564412868147122e-05
basisOfRecord_enc,0.0
uncertainty_high,0.0
