decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,month,year,day,decade,lat_grid,lon_grid,phylum_enc,class_enc,order_enc,family_enc,taxonRank_enc,basisOfRecord_enc,season_enc,species_richness,TARGET_sighting_density
17.366671,73.73333,3.06,12,1914,11,1910,17.4,73.7,2,9,16,50,4,3,3,51,503
17.366671,73.73333,3.06,12,1914,11,1910,17.4,73.7,2,9,16,50,4,3,3,51,503
17.720878,73.824617,1000.0,9,2025,18,2020,17.7,73.8,2,0,2,47,4,0,0,40,181
17.398142,73.833084,1561.0,6,2025,2,2020,17.4,73.8,2,0,2,37,4,0,0,31,39
17.554258,73.519405,30732.0,12,2025,4,2020,17.6,73.5,2,4,23,16,4,0,3,29,64
17.559818,73.471054,1405.0,12,2025,3,2020,17.6,73.5,2,10,23,0,4,0,3,29,64
17.526614,73.520389,1000.0,12,2025,26,2020,17.5,73.5,2,10,23,15,4,0,3,37,145
17.598096,73.848153,204.0,10,2023,22,2020,17.6,73.8,1,1,3,55,4,0,1,37,165
17.450779,73.707796,312.0,12,2025,21,2020,17.5,73.7,2,9,16,50,4,0,3,15,31
17.769133,73.742102,209.0,2,2025,10,2020,17.8,73.7,2,9,16,50,4,0,3,7,1
17.450779,73.707796,312.0,12,2025,20,2020,17.5,73.7,2,9,5,54,4,0,3,15,31
17.450779,73.707796,312.0,12,2025,19,2020,17.5,73.7,2,9,6,22,4,0,3,15,31
17.450779,73.707796,312.0,12,2025,20,2020,17.5,73.7,2,9,6,66,4,0,3,15,31
17.561729,73.501221,1000.0,11,2025,21,2020,17.6,73.5,2,0,2,6,4,0,1,29,58
17.521473,73.849888,1000.0,11,2015,27,2010,17.5,73.8,2,10,23,0,4,0,1,20,44
17.494595,73.803846,75.0,4,2025,26,2020,17.5,73.8,2,10,23,0,4,0,2,20,22
17.521274,73.542974,197.0,5,2025,18,2020,17.5,73.5,2,10,23,0,4,0,2,37,64
17.727912,73.694448,122.0,11,2023,19,2020,17.7,73.7,1,1,3,1,4,0,1,8,13
17.727912,73.694448,122.0,11,2023,19,2020,17.7,73.7,2,10,23,49,4,0,1,8,13
17.727912,73.694448,122.0,11,2023,19,2020,17.7,73.7,1,1,3,1,4,0,1,8,13
17.727912,73.694448,122.0,11,2023,18,2020,17.7,73.7,1,1,3,1,4,0,1,8,13
17.60532,73.493339,221.0,4,2025,27,2020,17.6,73.5,2,11,23,59,4,0,2,29,21
17.469797,73.787588,30732.0,10,2025,18,2020,17.5,73.8,2,9,5,5,4,0,1,20,41
17.387723,73.655908,31.0,10,2025,18,2020,17.4,73.7,2,0,2,19,4,0,1,51,383
17.392901,73.64801,31.0,10,2025,18,2020,17.4,73.6,2,10,23,15,4,0,1,10,26
17.564226,73.61037,30732.0,10,2025,17,2020,17.6,73.6,2,9,6,22,5,0,1,4,5
17.562413,73.661767,30732.0,10,2025,17,2020,17.6,73.7,2,9,5,58,4,0,1,7,5
17.376759,73.725644,8.0,10,2025,18,2020,17.4,73.7,2,10,23,15,5,0,1,51,383
17.444378,73.712797,15.0,10,2025,17,2020,17.4,73.7,2,10,23,65,4,0,1,51,383
17.444248,73.712508,15.0,10,2025,17,2020,17.4,73.7,2,10,23,15,4,0,1,51,383
17.352718,73.771507,1000.0,6,2025,14,2020,17.4,73.8,2,0,2,19,4,0,0,31,39
17.368993,73.691905,4.0,10,2025,18,2020,17.4,73.7,2,10,23,63,5,0,1,51,383
17.370758,73.698144,15.0,10,2025,18,2020,17.4,73.7,2,0,2,6,4,0,1,51,383
17.37176,73.698523,15.0,10,2025,18,2020,17.4,73.7,0,3,4,25,4,0,1,51,383
17.693,73.511,1000.0,10,2021,13,2020,17.7,73.5,2,12,8,62,6,2,1,7,73
17.694492,73.839008,1000.0,9,2025,18,2020,17.7,73.8,2,9,16,30,4,0,0,40,181
17.596889,73.848617,4.0,9,2025,20,2020,17.6,73.8,2,9,15,10,4,0,0,37,146
17.588021,73.82437,4151.0,7,2016,27,2010,17.6,73.8,3,7,21,8,4,0,0,37,179
17.394843,73.743305,1000.0,12,2022,13,2020,17.4,73.7,2,9,15,10,4,0,3,51,503
17.720831,73.823716,993.0,9,2013,22,2010,17.7,73.8,1,1,3,57,1,0,0,40,181
17.450779,73.707796,312.0,3,2025,23,2020,17.5,73.7,2,9,15,10,4,0,2,15,3
17.450779,73.707796,312.0,8,2020,8,2020,17.5,73.7,2,10,23,15,4,0,0,15,20
17.450779,73.707796,312.0,8,2020,20,2020,17.5,73.7,2,10,23,15,0,0,0,15,20
17.553161,73.608199,9.0,8,2025,26,2020,17.6,73.6,1,1,3,1,4,0,0,4,4
17.450779,73.707796,312.0,10,2020,20,2020,17.5,73.7,2,10,23,15,4,0,1,15,23
17.565041,73.775624,64168.0,5,2021,24,2020,17.6,73.8,2,10,23,15,4,0,2,37,65
17.453785,73.70613,3245.0,4,2024,16,2020,17.5,73.7,2,10,23,15,4,0,2,15,10
17.450779,73.707796,312.0,6,2021,21,2020,17.5,73.7,2,10,23,15,0,0,0,15,13
17.425064,73.713291,1069.0,6,2025,9,2020,17.4,73.7,2,10,23,63,4,0,0,51,219
17.555557,73.504929,218.0,5,2024,23,2020,17.6,73.5,2,11,23,21,5,0,2,29,34
17.609429,73.825372,1470.0,12,2024,3,2020,17.6,73.8,1,1,3,57,1,0,3,37,156
17.603094,73.847787,5098.0,6,2025,13,2020,17.6,73.8,2,10,23,15,4,0,0,37,86
17.600584,73.813536,976.0,5,2025,1,2020,17.6,73.8,2,10,23,0,4,0,2,37,65
17.5117,73.544899,19.0,7,2024,16,2020,17.5,73.5,2,11,23,59,4,0,0,37,174
17.542495,73.841971,497.0,9,2024,3,2020,17.5,73.8,2,9,6,9,4,0,0,20,58
17.642154,73.837925,30716.0,3,2025,22,2020,17.6,73.8,2,9,5,5,4,0,2,37,35
17.554167,73.82,1000.0,8,2022,1,2020,17.6,73.8,2,10,23,24,1,1,0,37,96
17.554167,73.82,1000.0,8,2022,1,2020,17.6,73.8,2,10,23,24,1,1,0,37,96
17.592764,73.827203,4157.0,7,2024,13,2020,17.6,73.8,2,10,23,15,4,0,0,37,179
17.592764,73.827203,4157.0,7,2024,10,2020,17.6,73.8,2,10,23,65,4,0,0,37,179
17.643946,73.821321,3134.0,9,2022,17,2020,17.6,73.8,2,10,23,15,4,0,0,37,146
17.605016,73.816121,357.0,11,2024,22,2020,17.6,73.8,2,10,23,65,4,0,1,37,124
17.708867,73.681435,1000.0,10,2024,5,2020,17.7,73.7,0,3,4,25,4,0,1,8,15
17.599258,73.847551,63.0,11,2024,23,2020,17.6,73.8,2,9,15,10,4,0,1,37,124
17.42319,73.829781,2597.0,12,2024,2,2020,17.4,73.8,2,9,6,9,4,0,3,31,88
17.720831,73.823716,993.0,5,2015,30,2010,17.7,73.8,1,1,17,7,4,0,2,40,76
17.603097,73.847787,5091.0,10,2024,2,2020,17.6,73.8,2,9,7,29,4,0,1,37,165
17.603097,73.847787,5091.0,10,2024,2,2020,17.6,73.8,2,9,7,29,4,0,1,37,165
17.594909,73.820431,509.0,11,2024,15,2020,17.6,73.8,2,10,23,65,5,0,1,37,124
17.599548,73.817878,1515.0,11,2024,15,2020,17.6,73.8,1,1,17,7,4,0,1,37,124
17.603094,73.847787,5098.0,11,2024,10,2020,17.6,73.8,2,10,23,15,5,0,1,37,124
17.592766,73.827203,7212.0,5,2015,18,2010,17.6,73.8,2,10,23,0,4,0,2,37,65
17.769133,73.742102,209.0,10,2024,31,2020,17.8,73.7,2,10,23,15,4,0,1,7,8
17.728681,73.813329,994.0,10,2024,12,2020,17.7,73.8,2,10,23,49,4,0,1,40,200
17.697964,73.592692,207.0,9,2024,27,2020,17.7,73.6,1,8,9,23,4,0,0,4,4
17.720831,73.823716,994.0,10,2024,12,2020,17.7,73.8,2,10,23,65,4,0,1,40,200
17.720831,73.823716,994.0,10,2024,12,2020,17.7,73.8,2,10,23,65,4,0,1,40,200
17.399434,73.737957,15.0,7,2022,2,2020,17.4,73.7,2,0,12,31,1,0,0,51,505
17.735615,73.658343,1000.0,10,2024,5,2020,17.7,73.7,1,1,3,48,4,0,1,8,15
17.714284,73.688014,1000.0,10,2024,5,2020,17.7,73.7,2,10,23,63,4,0,1,8,15
17.48295,73.837471,743.0,9,2024,3,2020,17.5,73.8,2,9,6,9,4,0,0,20,58
17.592764,73.827203,4157.0,7,2024,11,2020,17.6,73.8,2,10,23,15,4,0,0,37,179
17.572516,73.80865,4157.0,7,2024,26,2020,17.6,73.8,2,10,23,15,4,0,0,37,179
17.427543,73.818215,776.0,7,2024,11,2020,17.4,73.8,2,10,23,15,4,0,0,31,94
17.592766,73.827203,4151.0,6,2024,15,2020,17.6,73.8,2,0,2,47,4,0,0,37,86
17.725689,73.818914,205.0,8,2014,22,2010,17.7,73.8,1,8,9,23,4,0,0,40,105
17.44395,73.717244,1000.0,7,2024,13,2020,17.4,73.7,2,10,23,15,4,0,0,51,505
17.425189,73.819475,2053.0,7,2024,11,2020,17.4,73.8,2,10,23,15,4,0,0,31,94
17.394277,73.742981,3.0,7,2024,13,2020,17.4,73.7,2,0,2,19,4,0,0,51,505
17.446253,73.718608,1000.0,7,2024,13,2020,17.4,73.7,2,10,23,15,4,0,0,51,505
17.444944,73.717064,1000.0,7,2024,13,2020,17.4,73.7,2,10,23,65,4,0,0,51,505
17.590475,73.820508,4151.0,6,2024,17,2020,17.6,73.8,2,10,23,65,4,0,0,37,86
17.603097,73.847787,5091.0,6,2024,15,2020,17.6,73.8,2,10,23,65,4,0,0,37,86
17.494269,73.827253,1000.0,5,2024,28,2020,17.5,73.8,2,10,23,65,4,0,2,20,18
17.5745,73.8259,1000.0,5,2023,16,2020,17.6,73.8,2,10,23,0,4,0,2,37,65
17.720831,73.823716,1000.0,9,2021,28,2020,17.7,73.8,2,10,23,63,4,0,0,40,181
17.598097,73.848153,1000.0,2,2014,8,2010,17.6,73.8,6,12,23,62,2,0,3,37,7
17.56527,73.828409,155.0,5,2024,3,2020,17.6,73.8,2,9,6,9,4,0,2,37,65
17.574391,73.826618,1000.0,5,2024,3,2020,17.6,73.8,2,10,23,0,4,0,2,37,65
17.725689,73.818914,205.0,1,2015,11,2010,17.7,73.8,1,1,3,55,4,0,3,40,168
