coordinateUncertaintyInMeters,day,month,year,decade,order_enc,family_enc,taxonRank_enc,basisOfRecord_enc,season_enc,lat_grid,lon_grid,species_richness,decimalLatitude,decimalLongitude,insect_sighting_density
8.0,28,12,2025,2020,4,31,2,0,0,17.5,73.5,183,17.530651,73.516476,63.17065105435902
1405.0,4,12,2025,2020,6,29,2,0,0,17.6,73.5,172,17.559818,73.471054,65.57096184943875
1405.0,4,12,2025,2020,4,39,2,0,0,17.6,73.5,172,17.559818,73.471054,65.57096184943875
1.0,31,10,2025,2020,4,39,2,0,3,17.4,73.8,41,17.355787,73.763438,15.117478661959138
203.0,10,1,2026,2020,4,40,2,0,0,17.5,73.8,9,17.514887,73.823181,3.699859832092195
1405.0,3,12,2025,2020,4,31,2,0,0,17.6,73.5,172,17.559818,73.471054,65.57096184943875
1405.0,4,12,2025,2020,4,39,2,0,0,17.6,73.5,172,17.559818,73.471054,65.57096184943875
1.0,1,11,2025,2020,4,39,2,0,3,17.4,73.8,41,17.355787,73.763438,17.777478661959137
1.0,1,11,2025,2020,4,39,2,0,3,17.4,73.8,41,17.355787,73.763438,17.777478661959137
1405.0,3,12,2025,2020,4,39,2,0,0,17.6,73.5,172,17.559818,73.471054,65.57096184943875
1.0,1,11,2025,2020,4,43,2,0,3,17.4,73.8,41,17.355787,73.763438,17.777478661959137
1405.0,4,12,2025,2020,4,39,2,0,0,17.6,73.5,172,17.559818,73.471054,65.57096184943875
1.0,1,11,2025,2020,4,31,2,0,3,17.4,73.8,41,17.355787,73.763438,17.777478661959137
1.0,1,11,2025,2020,4,31,2,0,3,17.4,73.8,41,17.355787,73.763438,17.777478661959137
1069.0,29,12,2025,2020,4,27,2,0,0,17.4,73.7,69,17.39189,73.740431,21.220924819931643
1.0,31,10,2025,2020,4,31,2,0,3,17.4,73.8,41,17.355787,73.763438,15.117478661959138
1.0,1,11,2025,2020,4,31,2,0,3,17.4,73.8,41,17.355787,73.763438,17.777478661959137
100.0,18,12,2025,2020,4,39,2,0,0,17.3,73.5,2,17.300851,73.488601,2.5874173622456995
312.0,20,12,2025,2020,4,39,2,0,0,17.5,73.7,15,17.450779,73.707796,5.975755664662665
312.0,21,12,2025,2020,4,39,2,0,0,17.5,73.7,15,17.450779,73.707796,5.975755664662665
100.0,18,12,2025,2020,4,12,2,0,0,17.3,73.5,2,17.300851,73.488601,2.5874173622456995
3066.0,12,11,2023,2020,4,26,2,0,3,17.5,73.7,15,17.450305,73.736018,8.28582620795852
2426.0,14,6,2020,2020,4,19,2,0,2,17.6,73.8,97,17.627706,73.833084,51.288048659940955
400.0,12,11,2025,2020,4,12,2,0,3,17.5,73.5,183,17.542636,73.521178,64.62315316504744
1165.0,4,12,2025,2020,3,2,2,0,0,17.6,73.5,172,17.562144,73.474365,65.57771746100141
1081.0,4,12,2025,2020,4,39,2,0,0,17.6,73.5,172,17.562111,73.474858,65.5805046051014
205.0,24,9,2014,2010,4,27,2,0,3,17.7,73.8,93,17.725689,73.818914,30.859274172879253
122.0,18,11,2023,2020,4,39,2,0,3,17.7,73.7,21,17.727912,73.694448,7.89292564950759
47.0,18,10,2025,2020,4,26,2,0,3,17.6,73.5,172,17.558687,73.504524,69.57269163695479
97.0,18,10,2025,2020,4,12,2,0,3,17.6,73.5,172,17.558659,73.504722,69.50972497318307
15.0,18,10,2025,2020,7,55,2,0,3,17.4,73.7,69,17.387857,73.737065,42.57616794108824
15.0,18,10,2025,2020,4,39,2,0,3,17.4,73.7,69,17.388166,73.736548,42.57616794108824
15.0,18,10,2025,2020,6,29,2,0,3,17.4,73.7,69,17.369842,73.690554,42.57616794108824
15.0,19,10,2025,2020,4,39,2,0,3,17.4,73.7,69,17.416306,73.740611,42.57616794108824
8.0,19,10,2025,2020,4,19,2,0,3,17.4,73.7,69,17.416418,73.740464,42.690651054359016
2.0,17,10,2025,2020,4,43,2,0,3,17.4,73.7,69,17.393153,73.741018,43.083612859297205
31.0,19,10,2025,2020,4,27,2,0,3,17.4,73.7,69,17.429591,73.729659,42.47742542152915
