lat_grid,lon_grid,day,month,year,decade,season_enc,coordinateUncertaintyInMeters,species_richness,order_enc,family_enc,class_enc,taxonRank_enc,basisOfRecord_enc,decimalLatitude,decimalLongitude,plant_sighting_density
17.8,73.8,22,6,1880,1880,2,549.0,34,19,46,1,2,4,17.78306,73.76838,205
17.3,73.5,22,3,2017,2010,1,549.0,10,13,40,1,2,4,17.33064,73.47105,61
17.3,73.5,22,12,2025,2020,0,549.0,10,3,11,1,2,0,17.302228,73.490266,61
17.5,73.5,24,4,2025,2020,1,15.0,30,0,8,0,2,0,17.510124,73.543522,221
17.6,73.5,3,12,2025,2020,0,1405.0,10,11,35,1,2,0,17.559818,73.471054,44
17.3,73.5,18,12,2025,2020,0,20.0,10,14,0,1,2,0,17.300851,73.488601,61
17.6,73.8,22,3,2025,2020,1,549.0,81,14,81,1,2,0,17.598598,73.845879,884
17.5,73.5,3,12,2025,2020,0,217.0,30,20,57,1,2,0,17.527559,73.538425,221
17.5,73.5,3,12,2025,2020,0,217.0,30,18,48,1,2,0,17.527559,73.538425,221
17.6,73.5,4,12,2025,2020,0,800.0,10,11,35,1,2,0,17.563752,73.473365,44
17.5,73.8,10,1,2026,2020,0,549.0,17,19,50,1,2,0,17.513715,73.819892,99
17.3,73.5,18,12,2025,2020,0,20.0,10,14,0,1,2,0,17.300851,73.488603,61
17.4,73.5,4,1,2026,2020,0,549.0,23,8,72,0,2,0,17.387005,73.528222,128
17.4,73.5,4,1,2026,2020,0,549.0,23,12,6,1,2,0,17.387048,73.528423,128
17.5,73.7,20,12,2025,2020,0,312.0,12,14,14,1,2,0,17.450779,73.707796,33
17.4,73.5,4,1,2026,2020,0,549.0,23,17,84,1,2,0,17.386973,73.528168,128
17.6,73.5,4,12,2025,2020,0,964.0,10,6,1,1,2,0,17.562114,73.475067,44
17.3,73.5,18,12,2025,2020,0,100.0,10,3,11,1,2,0,17.300851,73.488601,61
17.5,73.5,18,5,2025,2020,1,3.0,30,14,0,1,2,0,17.52148,73.54296,221
17.3,73.5,12,11,2025,2020,3,44.0,10,17,84,1,2,0,17.316602,73.538233,61
17.8,73.8,16,9,2024,2020,3,549.0,34,0,8,0,2,0,17.751936,73.792661,205
17.7,73.8,3,4,2022,2020,1,549.0,232,14,67,1,2,0,17.725108,73.823206,6544
17.3,73.5,21,12,2025,2020,0,549.0,10,14,0,1,2,0,17.303657,73.492038,61
17.8,73.8,16,9,2024,2020,3,549.0,34,13,40,1,2,0,17.758228,73.788304,205
17.8,73.8,16,9,2024,2020,3,549.0,34,14,41,1,2,0,17.755342,73.791606,205
17.3,73.5,17,12,2025,2020,0,100.0,10,22,66,1,2,0,17.300855,73.488602,61
17.3,73.5,24,12,2025,2020,0,549.0,10,30,82,1,2,0,17.302348,73.490443,61
17.8,73.8,16,9,2024,2020,3,549.0,34,2,9,0,2,0,17.75001,73.792321,205
17.7,73.8,25,9,2025,2020,3,298.0,232,30,82,1,2,0,17.724306,73.846812,6544
17.7,73.8,20,9,2025,2020,3,205.0,232,15,23,0,2,0,17.725689,73.818914,6544
17.7,73.8,6,9,2025,2020,3,3.0,232,15,23,0,2,0,17.692488,73.769408,6544
17.7,73.8,25,11,2014,2010,3,205.0,232,18,48,1,2,0,17.725689,73.818914,6544
17.7,73.8,23,9,2012,2010,3,645.0,232,19,46,1,2,0,17.725689,73.818914,6544
17.7,73.8,2,10,2025,2020,3,276.0,232,14,0,1,2,0,17.726024,73.818652,6544
17.7,73.8,22,10,2025,2020,3,924.0,232,3,52,1,2,0,17.719013,73.811114,6544
17.7,73.8,18,9,2025,2020,3,994.0,232,3,11,1,2,0,17.729968,73.822497,6544
17.8,73.8,21,9,2025,2020,3,30716.0,34,8,25,0,2,0,17.773489,73.828764,205
17.7,73.8,18,9,2025,2020,3,994.0,232,10,12,1,2,0,17.72887,73.809558,6544
17.6,73.8,13,3,2021,2020,1,100.0,81,14,0,1,1,4,17.586744,73.829858,884
17.6,73.8,13,3,2021,2020,1,100.0,81,14,0,1,1,4,17.586744,73.829858,884
17.7,73.8,27,10,2021,2020,3,100.0,232,14,0,1,1,4,17.725886,73.823917,6544
17.7,73.8,15,9,2013,2010,3,205.0,232,10,12,1,2,0,17.725689,73.818914,6544
17.7,73.8,24,9,2023,2020,3,206.0,232,10,12,1,2,0,17.725689,73.818914,6544
17.7,73.8,8,9,2018,2010,3,150.0,232,10,12,1,2,0,17.724899,73.826645,6544
17.7,73.8,1,9,2013,2010,3,150.0,232,10,12,1,2,0,17.724899,73.826645,6544
17.7,73.8,23,9,2013,2010,3,993.0,232,10,12,1,2,0,17.720831,73.823716,6544
17.7,73.8,25,9,2025,2020,3,298.0,232,10,12,1,2,0,17.722701,73.837199,6544
17.7,73.8,6,10,2023,2020,3,205.0,232,10,12,1,2,0,17.725689,73.818914,6544
17.7,73.8,13,9,2016,2010,3,178.0,232,10,12,1,2,0,17.721618,73.824574,6544
17.7,73.8,12,9,2014,2010,3,205.0,232,10,12,1,2,0,17.725689,73.818914,6544
17.7,73.8,4,12,2024,2020,0,994.0,232,10,12,1,2,0,17.720831,73.823716,6544
17.7,73.8,10,9,2024,2020,3,2344.0,232,10,12,1,2,0,17.730111,73.808811,6544
17.6,73.8,24,9,2025,2020,3,4151.0,81,2,59,0,2,0,17.592766,73.827203,884
17.7,73.8,27,9,2025,2020,3,549.0,232,30,82,1,2,0,17.724203,73.826658,6544
17.7,73.8,18,9,2025,2020,3,206.0,232,10,12,1,2,0,17.725689,73.818914,6544
17.7,73.8,27,9,2025,2020,3,21545.0,232,2,59,0,2,0,17.675281,73.81838,6544
17.4,73.7,18,10,2025,2020,3,15.0,112,3,11,1,2,0,17.397005,73.744819,941
17.6,73.5,27,4,2025,2020,1,549.0,10,26,53,1,2,0,17.556142,73.504444,44
17.7,73.8,19,9,2024,2020,3,30716.0,232,12,36,1,2,0,17.746313,73.843103,6544
17.7,73.8,18,9,2025,2020,3,994.0,232,8,25,0,2,0,17.720831,73.823716,6544
17.7,73.8,18,9,2025,2020,3,206.0,232,8,25,0,2,0,17.725689,73.818914,6544
17.7,73.8,18,9,2025,2020,3,994.0,232,8,25,0,2,0,17.720831,73.823716,6544
17.7,73.8,18,9,2025,2020,3,994.0,232,14,41,1,2,0,17.720831,73.823716,6544
17.7,73.8,18,9,2025,2020,3,994.0,232,4,15,1,2,0,17.718405,73.804563,6544
17.6,73.8,4,10,2025,2020,3,549.0,81,14,0,1,2,0,17.597656,73.847961,884
