Feature,Importance
species_richness,0.38961178
richness_log,0.24700576
month_sin,0.10537336
lat_grid,0.08427385
month,0.050156675
lon_grid,0.022877427
water_index,0.017193988
month_cos,0.016878828
temperature,0.013447044
humidity_norm,0.011928837
rainfall,0.008378061
season_enc,0.006718916
spatial,0.0060967547
richness_x_habitat,0.005964912
humidity,0.0046755117
richness_x_rain,0.0032505477
habitat_quality,0.002287782
order_enc,0.001389345
temp_stress,0.0011462141
rain_monsoon,0.0009821297
day,9.7128024e-05
family_enc,8.739712e-05
years_since_2000,6.4793436e-05
year,6.195609e-05
decade,2.5804919e-05
is_monsoon,2.5166704e-05
