Feature,Importance
family_enc,0.100920066
order_enc,0.0690421
habitat_quality,0.055252645
spatial,0.05111899
richness_log,0.050553948
month_cos,0.05044648
season_enc,0.041417908
lon_grid,0.041345425
species_richness,0.040739834
month,0.03994957
years_since_2000,0.03981399
humidity_norm,0.036125433
richness_x_rain,0.03610485
year,0.035385504
month_sin,0.03530224
decade,0.0349326
lat_grid,0.033272896
day,0.030564062
richness_x_habitat,0.029073909
rain_monsoon,0.026782233
water_index,0.025900891
rainfall,0.0253273
humidity,0.02471391
temp_stress,0.023504214
temperature,0.022409005
is_monsoon,0.0
