Feature,Importance
richness_x_habitat,0.21934031
species_richness,0.18438582
richness_log,0.10178809
decade,0.093142994
rainfall,0.0802985
richness_x_rain,0.07112758
water_index,0.06874472
rain_monsoon,0.051487904
lon_grid,0.03866255
year,0.023132818
years_since_2000,0.020154139
lat_grid,0.017306117
season_enc,0.011361371
month,0.009383299
month_sin,0.0037530377
month_cos,0.002077899
spatial,0.0014033729
habitat_quality,0.0011215047
humidity_norm,0.0002991297
temperature,0.0002777601
humidity,0.00019052901
temp_stress,0.00017009105
family_enc,0.00014619816
day,0.0001413244
order_enc,0.00010295183
is_monsoon,0.0
