Feature,Importance
species_richness,0.60653305
richness_log,0.36635178
lon_grid,0.010375355
spatial,0.0049890806
richness_x_habitat,0.0030702893
habitat_quality,0.0027881016
lat_grid,0.0021883482
month,0.0017197918
richness_x_rain,0.0013842098
rainfall,0.00017492083
humidity,0.00015685025
month_cos,0.00012112124
water_index,4.1158168e-05
season_enc,2.9823334e-05
month_sin,2.4867533e-05
rain_monsoon,1.8718913e-05
order_enc,7.2426405e-06
humidity_norm,5.979515e-06
temp_stress,5.785194e-06
temperature,3.884524e-06
family_enc,3.6459846e-06
years_since_2000,3.1983532e-06
day,1.2726135e-06
year,1.13674e-06
decade,4.022413e-07
is_monsoon,0.0
