Feature,Importance
species_richness_sq,0.48586684
species_richness,0.47464278
species_richness_sqrt,0.027302036
lon_grid,0.009445945
lat_grid,0.0014677297
spatial,0.0005969028
day_sqrt,0.00015494273
spatial_mean,0.00014876058
rich_uncertainty_ratio,0.00010141413
uncertainty_log,6.749909e-05
taxonRank_enc,3.7077378e-05
order_family,3.210783e-05
order_enc,2.497092e-05
species_richness_cbrt,1.9944513e-05
family_order_ratio,1.6662058e-05
category_mean,1.5700714e-05
family_enc,1.4363926e-05
coordinateUncertaintyInMeters,1.3276034e-05
spatial_uncertainty,1.0634152e-05
class_family,5.099561e-06
year_month,4.7157296e-06
richness_order,4.5126426e-06
year,1.3247626e-06
richness_family,1.3002609e-06
season_month,1.1776185e-06
class_enc,3.9411756e-07
day,3.4605662e-07
day_month,3.1272626e-07
basisOfRecord_enc,2.844554e-07
season_enc,2.5658218e-07
temporal_mean,2.2792938e-07
month,2.0165407e-07
month_season,1.3349141e-07
decade,1.1307396e-07
day_sq,4.8914668e-08
day_cbrt,2.7717972e-08
year_sqrt,0.0
year_cbrt,0.0
richness_log,0.0
year_sq,0.0
month_log,0.0
month_cbrt,0.0
month_sqrt,0.0
month_sq,0.0
richness_high,0.0
uncertainty_high,0.0
